"ACO
ID",ACO Name,State,"ACO
Type1","Risk
Arrangement2",Gross Savings (Loss)3,"Net Savings
(Loss)4",Gross Savings Rate5,Net Savings Rate6,"Total Bene-
ficiaries7",Total Eligible Months8,High Performers Pool Payout9,Pre-discount Benchmark10,Final Benchmark11,Total Cost of Care12,Total Quality Score13,Quality-A14,Quality-B15,Quality-C16,Quality-D17,Quality-E18,Quality-F19,Quality-G20,Quality-H21,Quality-I22,Quality-J23,Quality-K24,Quality-L25,Quality-M26,Quality-N27,Quality-O28
D0179,NW Momentum Health Partners ACO,WA,Standard,Professional," $ (3,405,401.05)"," $ (1,702,700.53)",-1.2%,-0.6%,"23,447","268,515",," $ 273,145,715.66 "," $ 273,145,715.66 "," $ 276,551,116.71 ",72.1%,14.95,31.12,,66.85,77.31,93.60,82.48,60.72,91.72,92.68,52.78,26.86,Yes,No,4.09
D0181,"NeueHealth Premier ACO, LLC",MN,Standard,Global," $ 7,044,843.42 "," $ 4,274,636.48 ",7.9%,4.8%,"7,080","78,935",," $ 88,918,712.74 "," $ 86,235,743.28 "," $ 81,873,869.32 ",73.6%,15.89,29.51,,80.42,76.92,89.91,80.94,57.38,89.13,83.92,58.41,19.74,Yes,No,9.68
D0187,"Hudson Accountable Care, LLC d/b/a AdvantageCare ACO",NY,Standard,Global," $ 3,475,971.42 "," $ (14,227.21)",3.0%,0.0%,"8,302","90,908",," $ 115,567,500.89 "," $ 112,077,302.26 "," $ 112,091,529.47 ",86.5%,15.33,34.82,,67.94,73.14,91.69,81.95,51.95,90.75,89.66,63.64,10.43,Yes,No,9.80
D0203,"Humana Direct Contracting Entity, Inc.",KY,Standard,Global," $ 28,615,874.64 "," $ 9,223,299.28 ",4.5%,1.4%,"52,458","595,655"," $ 5,584,829.21 "," $ 639,917,269.59 "," $ 620,712,924.82 "," $ 611,301,394.95 ",100.0%,15.13,29.57,,72.71,83.15,94.91,88.12,65.15,93.34,94.08,65.67,26.01,Yes,Yes,8.45
D0207,Park Nicollet Health Services ACO LLC d/b/a HealthPartners ACO,MN,Standard,Professional," $ (7,655,123.24)"," $ (3,827,561.62)",-1.8%,-0.9%,"36,107","417,757",," $ 428,800,800.66 "," $ 428,800,800.66 "," $ 436,455,923.90 ",70.2%,15.30,41.42,,69.80,77.92,94.89,85.33,57.28,93.49,93.41,63.51,24.33,Yes,No,10.00
D0209,"Triad HealthCare Network, LLC.",NC,Standard,Global," $ 14,606,589.26 "," $ 6,559,318.17 ",5.5%,2.5%,"22,341","255,244"," $ 2,393,154.00 "," $ 264,802,186.44 "," $ 256,888,778.99 "," $ 250,195,597.18 ",100.0%,14.88,30.12,,72.96,85.64,95.03,88.98,63.07,93.86,94.65,68.60,30.70,Yes,Yes,10.00
D0211,UT Southwestern Accountable Care Network,TX,Standard,Professional," $ 80,890,884.96 "," $ 37,945,187.12 ",5.8%,2.7%,"102,525","1,182,474",," $ 1,387,702,526.29 "," $ 1,387,702,526.29 "," $ 1,306,811,641.33 ",100.0%,15.11,32.63,,70.22,86.11,93.97,86.56,66.46,92.77,93.32,66.13,30.15,Yes,No,10.00
D0215,APA ACO Inc.,CA,Standard,Global," $ 30,280,963.45 "," $ 13,241,583.47 ",5.5%,2.4%,"33,590","373,765",," $ 551,967,102.13 "," $ 535,197,958.55 "," $ 521,686,138.68 ",52.1%,15.98,27.23,,60.72,78.60,90.05,80.87,58.33,90.66,90.31,50.99,25.42,Yes,No,9.99
D0217,"UW Health ACO, Inc.",WI,Standard,Professional," $ (13,058,701.87)"," $ (6,529,350.93)",-4.9%,-2.5%,"26,349","306,685",," $ 264,069,807.69 "," $ 264,069,807.69 "," $ 277,128,509.56 ",40.6%,15.26,37.87,,69.17,75.74,94.53,86.52,61.69,92.86,94.66,66.91,22.03,No,No,9.97
D0218,"Reliant Medical Group, Inc.",MA,Standard,Global," $ 26,187,352.77 "," $ 20,519,745.59 ",15.2%,11.9%,"11,109","127,843",," $ 172,389,683.95 "," $ 167,140,847.09 "," $ 146,202,331.18 ",39.3%,16.02,31.99,,68.18,82.07,94.35,87.78,55.89,93.03,94.96,61.00,21.26,No,No,9.79
D0224,Commonwealth Primary Care ACO LLC,AZ,Standard,Global," $ 4,839,621.24 "," $ 3,003,312.91 ",8.2%,5.1%,"4,492","52,068",," $ 59,059,213.55 "," $ 57,284,197.33 "," $ 54,219,592.31 ",100.0%,15.37,28.68,,82.44,80.25,94.06,85.85,66.29,92.14,89.70,68.94,29.46,N/A,N/A,10.00
D0227,"Mirra Reach, LLC",FL,Standard,Global," $ 9,318,841.05 "," $ 6,940,138.28 ",12.5%,9.3%,"4,767","53,857",," $ 74,424,771.89 "," $ 72,187,704.60 "," $ 65,105,930.84 ",73.7%,15.52,33.41,,72.87,79.26,93.23,84.02,59.86,90.78,90.28,63.74,20.53,N/A,N/A,10.00
D0236,Honest ACO of Michigan LLC,TN,Standard,Global," $ 8,197,122.16 "," $ 4,965,072.91 ",7.8%,4.7%,"9,405","84,691",," $ 104,748,713.26 "," $ 101,617,992.04 "," $ 96,551,591.11 ",98.8%,15.23,31.97,,78.44,85.04,94.81,85.53,66.73,92.95,91.67,63.26,29.10,N/A,N/A,6.00
D0237,"CHESS Genesis, LLC",NC,Standard,Professional," $ 1,217,053.68 "," $ 596,356.30 ",0.5%,0.2%,"19,953","227,171",," $ 247,088,644.71 "," $ 247,088,644.71 "," $ 245,871,591.03 ",98.5%,15.45,31.88,,73.90,82.40,94.32,89.45,62.84,93.51,93.27,71.31,34.99,N/A,N/A,9.95
D0241,Honest ACO of New York LLC,TN,Standard,Global," $ 2,886,531.03 "," $ 437,710.58 ",3.5%,0.5%,"6,946","76,592",," $ 81,900,990.89 "," $ 79,461,103.31 "," $ 79,014,459.86 ",99.2%,15.13,28.93,,73.65,87.08,93.53,85.05,63.24,91.75,94.45,68.40,20.64,N/A,N/A,6.91
D0242,"Pearl Primary Care Network, LLC",NY,Standard,Professional," $ (30,738,201.85)"," $ (14,298,758.70)",-6.5%,-3.0%,"31,327","346,567",," $ 472,051,738.93 "," $ 472,051,738.93 "," $ 502,789,940.78 ",67.1%,15.87,33.76,,73.15,88.23,96.15,86.34,66.18,94.64,92.80,62.51,29.75,N/A,N/A,0.03
D0243,"Pearl Network, LLC",NY,Standard,Global," $ (2,657,944.76)"," $ (5,522,238.65)",-2.8%,-5.8%,"7,542","82,913",," $ 95,578,967.11 "," $ 92,714,673.22 "," $ 98,236,911.87 ",83.4%,15.33,29.22,,71.43,84.33,93.05,85.67,59.00,91.61,91.14,56.56,26.23,N/A,N/A,0.10
D0244,"Hudson Heights REACH ACO, Inc.",NY,New Entrant,Professional," $ 7,699,151.65 "," $ 1,651,081.05 ",25.2%,5.4%,"1,488","16,410",," $ 30,583,976.43 "," $ 30,583,976.43 "," $ 22,884,824.78 ",95.7%,15.23,25.55,,69.39,88.59,94.03,83.97,66.03,92.67,92.11,57.52,23.75,N/A,N/A,9.02
D0245,"UpStream GAP Q, LLC",NC,Standard,Global," $ 18,570,578.21 "," $ 7,498,809.89 ",5.1%,2.1%,"33,055","362,693",," $ 363,659,758.73 "," $ 352,741,027.35 "," $ 345,089,180.52 ",100.0%,14.85,33.56,,70.40,82.63,95.98,89.30,68.91,94.24,93.12,69.01,26.89,N/A,N/A,10.00
D0248,Allina Health System,MN,Standard,Professional," $ 13,911,271.88 "," $ 6,816,523.22 ",3.9%,1.9%,"29,175","338,545",," $ 356,179,481.67 "," $ 356,179,481.67 "," $ 342,268,209.79 ",100.0%,14.96,36.29,,77.63,76.14,94.86,88.16,62.31,93.79,92.76,66.81,25.85,N/A,N/A,9.70
D0251,"UpStream Carolinas, LLC",SC,Standard,Global," $ (16,103,074.99)"," $ (24,869,075.28)",-5.6%,-8.7%,"25,374","294,933",," $ 286,925,995.79 "," $ 278,159,995.51 "," $ 303,029,070.79 ",99.1%,15.23,31.41,,71.04,79.16,94.21,84.58,62.85,91.68,93.27,62.83,28.92,N/A,N/A,10.00
D0252,"Provider Partners Connect Care, LLC",MD,High Needs,Global," $ 3,238,005.68 "," $ 2,194,884.49 ",9.8%,6.6%,960,"8,719",," $ 33,191,963.89 "," $ 32,193,636.26 "," $ 29,953,958.21 ",76.5%,20.66,57.79,315.61,,,,,,,,,,N/A,N/A,2.73
D0253,North East Medical Services,CA,Standard,Global," $ (119,820.43)"," $ (2,239,901.23)",-0.2%,-3.2%,"8,281","82,974",," $ 69,810,491.46 "," $ 67,690,410.66 "," $ 69,930,311.89 ",73.7%,15.65,33.02,,68.16,74.35,85.36,79.35,67.90,89.53,84.01,63.01,31.02,N/A,N/A,10.00
D0257,"RGV ACO Health Providers, LLC",TX,Standard,Global," $ 6,442,066.77 "," $ 3,915,329.25 ",7.8%,4.8%,"5,629","60,573",," $ 82,158,749.72 "," $ 79,711,916.88 "," $ 75,716,682.95 ",80.1%,15.77,24.41,,73.53,83.01,93.07,84.62,61.10,91.91,87.73,68.91,25.52,N/A,N/A,9.82
D0259,HarmonyCares ACO LLC,MI,High Needs,Global," $ 10,243,430.02 "," $ 8,893,903.59 ",26.2%,22.8%,"1,541","8,331",," $ 39,052,955.63 "," $ 37,884,937.44 "," $ 28,809,525.61 ",100.0%,19.55,68.15,327.86,,73.09,90.80,75.53,80.35,91.77,82.02,53.94,20.49,N/A,N/A,10.00
D0260,"Accountable Care Organization of Advocate Aurora Health, LLC",WI,Standard,Global," $ 5,949,464.08 "," $ 3,500,138.91 ",8%,4%,"5,269","60,590",," $ 78,662,332.71 "," $ 76,284,438.95 "," $ 72,712,868.63 ",52.7%,15.36,36.78,,65.28,83.55,95.41,88.35,61.72,93.18,94.97,69.14,26.72,N/A,N/A,10.00
D0265,DULY HEALTH AND CARE ACCOUNTABLE CARE ORGANIZATION,IL,Standard,Global," $ 51,483,762.72 "," $ 32,560,871.87 ",9%,5%,"43,723","509,961",," $ 600,938,310.53 "," $ 582,679,927.26 "," $ 549,454,547.81 ",52.2%,15.57,37.45,,73.20,74.51,93.27,83.31,58.67,93.05,91.03,62.50,23.78,N/A,N/A,9.99
D0267,"Physician Partners ACO Reach, LLC",FL,Standard,Global," $ 5,370,703.68 "," $ 3,158,271.27 ",7%,4%,"5,318","59,188",," $ 71,705,292.83 "," $ 69,557,314.93 "," $ 66,334,589.14 ",96.0%,15.36,30.47,,76.01,82.97,92.03,84.98,62.12,90.19,91.75,63.81,25.78,N/A,N/A,5.36
D0268,"Aledade Accountable Care 128, LLC",MD,Standard,Global," $ 8,154,199.37 "," $ 5,172,548.33 ",9%,5%,"8,778","94,589",," $ 95,874,865.68 "," $ 92,998,776.85 "," $ 87,720,666.31 ",100.0%,15.10,27.80,,75.29,80.40,94.12,86.79,65.56,93.02,92.79,68.65,37.30,N/A,N/A,7.52
D0276,"ACO REACH South Texas, LLC",PA,Standard,Global," $ 11,364,461.11 "," $ 7,566,405.51 ",9%,6%,"8,768","91,063",," $ 122,430,581.79 "," $ 118,786,942.63 "," $ 111,066,120.68 ",78.1%,15.48,31.30,,73.15,83.66,93.15,85.78,63.62,92.06,88.34,63.98,29.80,N/A,N/A,8.91
D0284,CINQCARE ACO REACH LLC,NY,Standard,Global," $ 5,158,569.77 "," $ 3,019,794.37 ",7%,4%,"4,966","54,739",," $ 68,805,169.94 "," $ 66,728,023.00 "," $ 63,646,600.17 ",47.5%,15.54,34.19,,64.31,87.57,93.30,82.79,60.26,93.54,92.06,57.51,19.41,N/A,N/A,10.00
D0286,MNO REACH-MI LLC,MI,New Entrant,Global," $ 313,505.94 "," $ (121,672.52)",2%,-1%,"1,200","12,539",," $ 14,483,365.73 "," $ 14,048,187.27 "," $ 14,169,859.79 ",62.6%,15.43,40.26,,69.92,85.48,95.29,85.83,63.86,93.51,95.40,69.40,32.15,N/A,N/A,0.01
D0288,"COMMUNITY CARE COOPERATIVE, INC.",MA,Standard,Professional," $ 11,545,584.46 "," $ 5,089,979.58 ",8%,3%,"10,958","123,350",," $ 153,720,286.80 "," $ 153,720,286.80 "," $ 142,174,702.35 ",32.3%,15.67,42.10,,65.08,76.17,93.48,83.70,64.00,91.43,91.67,69.80,23.95,N/A,N/A,9.85
D0290,PCMA Cooperative LLC,PA,High Needs,Professional," $ 1,358,650.34 "," $ 665,738.67 ",4%,2%,796,"7,471",," $ 31,205,541.38 "," $ 31,205,541.38 "," $ 29,846,891.04 ",79.7%,20.80,76.02,316.60,,NR,NR,81.84,NR,NR,NR,NR,NR,N/A,N/A,10.00
D0294,"Optimum NY Independent Practice Association, LLC",NY,Standard,Professional," $ 16,898,067.57 "," $ 6,751,633.43 ",11%,4%,"12,865","143,881",," $ 158,353,153.77 "," $ 158,353,153.77 "," $ 141,455,086.20 ",75.0%,15.47,29.44,,68.64,85.55,92.86,84.88,66.07,91.52,92.03,65.00,14.56,N/A,N/A,10.00
D0295,"Harbor Health ACO, LLC",NY,New Entrant,Global," $ 1,786,432.89 "," $ 1,174,159.14 ",9%,6%,"1,749","18,469",," $ 19,455,454.75 "," $ 18,867,143.43 "," $ 17,669,021.86 ",46.0%,15.48,37.31,,68.25,85.75,95.19,85.35,59.14,92.48,93.59,68.65,15.76,N/A,N/A,8.96
D0298,"Catholic Medical Partners-Accountable Care IPA, INC",NY,Standard,Global," $ 11,080,325.06 "," $ 7,341,604.02 ",9%,6%,"10,655","115,764",," $ 120,219,855.17 "," $ 116,630,962.78 "," $ 109,139,530.11 ",96.6%,15.34,30.21,,71.45,85.16,95.77,85.66,62.22,93.50,92.87,71.03,21.81,N/A,N/A,9.84
D0303,"Community Care Contracting, LLC",NY,Standard,Global," $ 6,876,702.41 "," $ 1,431,904.59 ",4%,1%,"17,022","185,548",," $ 180,226,873.87 "," $ 174,811,298.60 "," $ 173,350,171.46 ",100.0%,14.75,30.40,,77.15,80.77,93.38,83.21,62.56,91.14,91.60,62.18,13.18,N/A,N/A,9.84
D0304,Complete Care Collaborative of the Northeast,NY,High Needs,Global," $ 19,709,457.87 "," $ 16,450,640.92 ",20%,17%,"2,508","21,971",," $ 97,408,719.46 "," $ 94,485,629.88 "," $ 77,699,261.59 ",100.0%,19.05,58.51,316.24,,81.94,92.11,80.65,63.05,89.96,85.10,72.00,20.34,N/A,N/A,4.56
D0313,Vytalize Health 9 ACO LLC,NJ,Standard,Global," $ 4,410,609.46 "," $ (1,403,208.27)",2%,-1%,"15,299","173,254",," $ 192,446,381.55 "," $ 186,632,563.82 "," $ 188,035,772.09 ",66.1%,15.26,37.66,,75.36,82.54,94.32,85.10,56.82,92.71,93.85,60.83,29.80,N/A,N/A,0.14
D0314,"One Medical ACO, LLC",CA,New Entrant,Global," $ 1,195,992.55 "," $ 6,301.34 ",3%,0%,"2,884","33,939",," $ 39,295,549.55 "," $ 38,105,986.94 "," $ 38,099,557.01 ",80.5%,15.58,29.19,,76.32,76.68,94.12,84.69,59.79,91.70,93.72,61.54,28.53,N/A,N/A,10.00
D0315,Medical Home Network REACH ACO,IL,Standard,Global," $ 7,873,034.37 "," $ (1,602,420.33)",2%,-1%,"22,172","248,580",," $ 318,172,424.24 "," $ 308,696,969.54 "," $ 310,299,389.87 ",96.0%,15.10,35.59,,67.57,84.88,94.32,86.39,65.78,93.33,91.97,66.89,27.78,N/A,N/A,10.00
D0316,Best IPA LLC,NY,Standard,Global," $ (1,755,374.64)"," $ (4,380,490.16)",-2%,-5%,"6,198","69,274",," $ 87,169,494.84 "," $ 84,544,379.31 "," $ 88,924,869.48 ",100.0%,14.79,24.23,,76.05,81.97,89.14,80.27,66.03,90.22,85.86,52.50,17.88,N/A,N/A,9.89
D0318,Innovation Care Partners REACH LLC,AZ,Standard,Global," $ 1,078,407.40 "," $ (686,916.94)",2%,-1%,"4,876","55,142",," $ 58,366,778.64 "," $ 56,601,454.30 "," $ 57,288,371.24 ",82.4%,15.62,28.57,,80.50,84.28,94.17,85.84,63.56,92.69,91.67,62.21,26.51,N/A,N/A,10.00
D0324,"NeueHealth Community ACO, LLC",MN,Standard,Global," $ 14,444,562.32 "," $ 7,026,833.80 ",6%,3%,"20,530","225,589",," $ 244,682,282.42 "," $ 237,407,958.66 "," $ 230,237,720.10 ",72.8%,15.72,34.91,,69.35,75.12,93.26,85.10,67.11,90.87,89.62,63.36,27.14,N/A,N/A,9.92
D0325,Complete Care Academy Collaborative,NY,High Needs,Global," $ 16,296,056.34 "," $ 13,452,761.88 ",19%,16%,"2,107","19,092",," $ 85,625,195.34 "," $ 83,056,447.04 "," $ 69,329,139.00 ",100.0%,19.30,69.79,315.02,,87.91,94.19,85.87,70.76,92.73,90.28,74.58,30.03,N/A,N/A,9.75
D0327,P3 Health Partners REACH ACO LLC,NV,Standard,Global," $ 7,705,388.99 "," $ 4,492,692.25 ",7%,4%,"7,546","84,576",," $ 103,766,009.26 "," $ 100,645,000.13 "," $ 96,060,620.27 ",91.0%,14.63,32.04,,69.07,82.87,92.95,83.80,64.09,91.65,91.97,58.24,20.36,N/A,N/A,5.67
D0329,"PRIME HEALTHCARE ACO, LLC",CA,Standard,Professional," $ 2,442,911.69 "," $ 1,197,026.73 ",5%,2%,"4,490","48,298",," $ 49,803,593.40 "," $ 49,803,593.40 "," $ 47,360,681.71 ",52.8%,15.33,37.15,,61.63,81.28,93.04,85.38,64.02,91.70,90.88,59.52,28.01,N/A,N/A,10.00
D0332,"Wellvana Premier Care, LLC",TN,Standard,Global," $ 20,285,281.55 "," $ 7,338,960.70 ",5%,2%,"34,205","385,633",," $ 424,522,567.76 "," $ 411,726,021.61 "," $ 404,237,286.21 ",70.0%,15.49,29.43,,70.65,83.86,93.24,84.29,60.96,92.38,91.74,61.80,28.24,N/A,N/A,2.73
D0333,"Tri-Shield Health, Inc. DBA Upperline Plus",TN,New Entrant,Global," $ 6,057,890.48 "," $ (1,571,540.17)",2%,-1%,"19,647","159,195",," $ 253,129,413.85 "," $ 245,499,983.19 "," $ 247,071,523.36 ",70.4%,15.72,33.82,,75.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.00
D0334,Complete Care Collaborative of the Midwest,NY,High Needs,Global," $ (6,186,291.15)"," $ (8,898,067.28)",-7%,-10%,"2,243","21,132",," $ 90,043,054.42 "," $ 87,331,278.29 "," $ 96,229,345.57 ",71.3%,20.35,69.78,313.10,,91.71,95.19,85.30,62.39,90.28,92.34,61.20,27.49,N/A,N/A,3.20
D0335,Complete Care Collaborative of the South,NY,High Needs,Global," $ 4,326,929.14 "," $ 2,522,363.07 ",7%,4%,"1,544","13,164",," $ 58,179,393.80 "," $ 56,426,304.54 "," $ 53,852,464.67 ",75.9%,20.56,77.14,314.63,,79.03,91.41,80.06,77.04,89.42,88.25,74.81,35.12,N/A,N/A,9.07
D0337,CHS ACO Op Co LLC,OH,High Needs,Global," $ 4,843,556.59 "," $ 4,085,441.74 ",21%,18%,619,"4,763",," $ 22,546,099.23 "," $ 21,871,360.73 "," $ 17,702,542.63 ",100.0%,19.94,57.37,313.51,,,,,,,,,,N/A,N/A,10.00
D0340,"BH ACO, LLC",PA,Standard,Global," $ 2,512,519.65 "," $ 1,053,501.18 ",5%,2%,"3,229","35,867",," $ 47,653,121.25 "," $ 46,215,602.80 "," $ 45,140,601.60 ",73.4%,15.04,33.97,,66.32,81.31,93.45,84.52,62.01,91.27,87.56,61.94,18.66,N/A,N/A,8.51
D0343,Prime Accountable Care East LLC,TN,Standard,Global," $ (2,378,918.93)"," $ (5,533,659.19)",-2%,-5%,"9,224","107,738",," $ 104,507,232.40 "," $ 101,352,492.13 "," $ 106,886,151.33 ",71.4%,15.82,35.19,,68.80,80.73,94.62,86.80,60.55,94.19,92.15,63.66,30.25,N/A,N/A,10.00
D0346,Arizona Best Care Network LLC,AZ,Standard,Global," $ (2,344,234.95)"," $ (4,227,242.43)",-4%,-7%,"6,161","70,189",," $ 63,051,896.75 "," $ 61,168,889.28 "," $ 65,396,131.70 ",54.3%,15.83,28.18,,63.86,74.78,89.77,79.60,65.43,89.16,87.24,64.51,26.77,N/A,N/A,7.32
D0347,"'N HEALTH NETWORK PARTNERS, LLC",FL,New Entrant,Global," $ 759,533.05 "," $ 187,180.71 ",4%,1%,"1,436","15,130",," $ 18,808,552.82 "," $ 18,240,020.49 "," $ 18,049,019.76 ",74.0%,15.21,40.35,,69.72,86.86,93.20,83.00,60.95,90.94,92.05,60.30,27.02,N/A,N/A,10.00
D0348,"Central Virginia Coalition of Healthcare Providers, LLC",VA,Standard,Global," $ 2,797,954.42 "," $ 1,721,359.86 ",8%,5%,"2,711","30,492",," $ 33,875,141.40 "," $ 32,833,676.63 "," $ 31,077,186.98 ",68.9%,15.41,34.74,,63.26,83.91,94.36,83.72,60.50,93.44,92.22,64.15,20.79,N/A,N/A,10.00
